id_exercises ;name_of_exercises;exercises_description;equipment;rating
10;Decline bar press sit-up;The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.;Barbell;7
11;Bench barbell roll-out;The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.;Barbell;8
12;Barbell Side Bend;;Barbell;8
13;Seated bar twist;The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.;Barbell;8
14;Single-arm landmine pull and press;The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.;Barbell;8
15;Barbell Ab Roll Out - Gethin Variation;The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.;Barbell;8
16;30 Barbell Floor Wiper;"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.";Barbell;8
17;30 Barbell Roll-Out;The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.;Barbell;8
18;Decline plate sit-up;"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.";Barbell;8
19;KV Barbell Hip Thrust;none;Barbell;8
20;Advanced Kettlebell Windmill;none;Kettlebells;8
21;Kettlebell Windmill;The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.;Kettlebells;8
22;Kettlebell Pass Between The Legs;none;Kettlebells;8
23;Kettlebell 3-point leg extension;"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.";Kettlebells;8
24;Double Kettlebell Swing;none;Kettlebells;8
25;Burpee over kettlebell;The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.;Kettlebells;8
26;Kettlebell toe-touch;The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.;Kettlebells;9
27;Kettlebell swing;The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.;Kettlebells;9
28;Two-way swing;"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.";Kettlebells;9
29;Kettlebell crab reach;The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.;Kettlebells;9
30;Taylor Single-Arm Kettlebell Swing;none;Kettlebells;9
31;Holman Kettlebell Up to Elbow Down;none;Kettlebells;9
32;FYR2 Double-Kettlebell Ski;none;Kettlebells;9
33;FYR2 Kettlebell Hike;none;Kettlebells;9
34;FYR2 Kettlebell Cross-Body Catch;none;Kettlebells;9
35;FYR2 Kettlebell Duck Walk;none;Kettlebells;9
36;FYR2 Kettlebell Get-Up Reach;none;Kettlebells;8
37;FYR2 Kettlebell Juggle;none;Kettlebells;8
38;FYR2 Squat-Clean-Alternating-Press Complex;none;Kettlebells;8
39;Dumbbell V-Sit Cross Jab;The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.;Dumbbell;9
40;Dumbbell spell caster;The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.;Dumbbell;9
41;Dumbbell side bend;none;Dumbbell;9
42;Dumbbell crunch;none;Dumbbell;9
43;Dumbbell Fix Dumbbell Sprawl;none;Dumbbell;9
44;Dumbbell Fix Alternating Renegade Row;none;Dumbbell;9
45;Dumbbell Fix Dumbbell Mountain Climber;none;Dumbbell;9
46;Dumbbell Fix Dumbbell Russian Twist;none;Dumbbell;9
47;Dumbbell Fix Dumbbell Pull-Over;none;Dumbbell;9
48;Dumbbell Fix Dumbbell Sit-Up;none;Dumbbell;9
49;Dumbbell Fix Dumbbell Front Squat;none;Dumbbell;8
50;Dumbbell Fix Full Man Maker;none;Dumbbell;8
51;Dumbbell T-hold;The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.;Dumbbell;8
52;Dumbbell hollow-body floor press;The dumbbell hollow-body floor press combines upper-body strength and core work in one move.;Dumbbell;8
53;Dumbbell crusher;The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.;Dumbbell;8
54;Dumbbell Crunch - Gethin Variation;The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.;Dumbbell;8
55;Single-arm dumbbell crunch;"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.";Dumbbell;8
56;HM Alternating Dumbbell Plank Row;none;Dumbbell;8
57;Dumbbell straight-legged hip raise;The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.;Dumbbell;8
58;Seated leg tuck with dumbbell;The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.;Dumbbell;8
59;Dumbbell V-sit cross jab-;none;Dumbbell;8
60;30 Hanging Leg Raise With Dumbbell;none;Dumbbell;8
61;Dumbbell Get-Up Sit-Up;none;Dumbbell;8
62;Holman Right Side Plank with Left Triceps Press;none;Dumbbell;8
63;Holman Left Side Plank with Right Triceps Press;none;Dumbbell;8
64;Holman Boat with Feet Push-Out and Overhead Press;none;Dumbbell;7
65;Holman Hovering Plank Row;none;Dumbbell;7
66;Holman Weighted Seated Killer Abs to Russian Twist;none;Dumbbell;7
67;Holman Straight Plank Dumbbell Reach-Under;none;Dumbbell;7
68;Holman Straight-Arm Side Plank Overhead Press to Chest Press;none;Dumbbell;7
69;Holman Weighted Burpee to Pike;none;Dumbbell;7
70;Holman Straight-Legged Boat Chest Press;none;Dumbbell;7
71;Holman Weighted Burpee to Side Delt Raise;none;Dumbbell;7
72;Holman Heavy Double Pike;none;Dumbbell;7
73;Holman Heavy Double Split Pike;none;Dumbbell;8
74;MetaBurn Alternating Dumbbell Sit-Through;none;Dumbbell;7
75;MetaBurn Alternating Plank Row With Dumbbell Pull-Through;none;Dumbbell;7
76;MetaBurn Alternating Plank Row With Push-Up;none;Dumbbell;7
77;MetaBurn Dumbbell Russian Twist;none;Dumbbell;8
78;MetaBurn Dumbbell Toe-Touch;none;Dumbbell;9
79;MetaBurn Plank To Alternating Row;none;Dumbbell;8
80;Standing dumbbell knee crunch-;The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout.;Dumbbell;8
81;MetaBurn Plank With Dumbbell Rotation;none;Dumbbell;9
82;FYR2 Dumbbell Crab Reach;none;Dumbbell;8
83;FYR2 Dumbbell Man-Maker;none;Dumbbell;8
84;FYR2 Dumbbell Sit-Up Reach;none;Dumbbell;9
85;FYR2 Loaded Beast Sprawl;none;Dumbbell;8
86;FYR2 Loaded to Unloaded Beast;none;Dumbbell;9
87;Lying Leg Pullover;none;Dumbbell;8
88;Landmine twist;The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.;Other;9
89;Suspended ab fall-out;"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.";Other;8
90;Decline reverse crunch;The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.;Other;9
91;Plate Twist;;Other;8
92;Weighted Crunches;"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.";Other;9
93;Ab Roller;The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.;Other;8
94;Otis-Up;The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominus or “six-pack” muscles, but also involves the obliques and deep core muscles. It is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight.;Other;9
95;Captain's chair knee raise;The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.;Other;8
96;Sledgehammer swing;The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.;Other;9
97;Decline bar press sit-up;The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.;Barbell;8
98;Pallof press;"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body.";Other;9
99;Weighted Sit-Ups - With Bands;The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.;Other;8
100;Suitcase crunch;"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout.";Other;9
101;FYR Rope Jumping;Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance.;Other;8
102;Barbell press sit-up;"The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also involves the obliques and deep core muscles. It can be performed on the floor with the feet anchored or unanchored, or on a decline or other bench. It is similar to the Otis-up, which is performed with a weight plate.";Other;9
103;Single-arm bent-over rear delt fly;The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.;Other;8
104;Captain's chair leg raise;The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.;Other;9
105;Shoulder-Elevated One-Leg Hip Thrusts;none;Other;8
106;Ab Twist - Gethin Variation;"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout.";Other;9
107;Weighted Crunch - Gethin Variation;The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.;Other;8
108;Ab Wheel Roll-Out - Gethin Variation;The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.;Other;9
109;Bench crunch;The bench crunch is a popular ab exercise performed lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.;Other;8
110;Decline plate sit-up twist;"The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.";Other;9
111;Reverse ab roll-out;The reverse ab roll-out is an exercise targeting the abdominals. It's a twist on the ab wheel roll-out, and is similar to a body saw exercise, only performed on a foam roller. Instead of your arms moving and your lower body remaining stationary, your lower body moves and your arms remain stationary. Beginners may need to use a limited range of motion.;Other;8
112;30 Seated Twist With PVC Pipe;The seated bar twist is a core exercise aiming to strengthen the obliques.;Other;9
113;Suspended crunch-;"The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles.";Other;8
114;Suspended oblique crunch;"The suspended oblique crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the obliques, but also the rectus abdominis or ""six-pack"" muscles, the shoulders, and deep core muscles.";Other;9
115;Weighted sit-up;The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.;Other;8
116;30 Decline Press Sit-Up;The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.;Other;9
117;Holman Towel Reverse Plank Alternating Heel Pull-in;none;Other;8
118;Holman Boat with Weighted Cross Punch;none;Other;9
119;Holman Weighted Hook Punch;none;Other;8
120;Holman Weighted Traveling Punch;none;Other;9
121;Holman Weighted Uppercut Punch;none;Other;8
122;Holman Slow Weighted Double Pike;none;Other;9
123;Holman Plate Straight Plank Reach;none;Other;8
124;Holman Plate Elbow Plank Jack to Straight Plank Jack;none;Other;9
125;Holman Plate Hill Climber;none;Other;8
126;Holman Plate Reverse Plank Hill Climber;none;Other;9
127;Holman Plate Straight Plank Pike to Jack;none;Other;8
128;Holman Plate In-and-Out Push-Up;none;Other;9
129;Holman Plate Burpee;none;Other;8
130;Holman Plate Elbow Plank Reach;none;Other;9
131;Holman Elbow Plank to Renegade Row;none;Other;8
132;Holman Straight Plank Weighted Hand Hill Climber;none;Other;9
133;Holman Weighted Left Side Diagonal Pike;none;Other;8
134;Holman Weighted Right Side Diagonal Pike;none;Other;9
135;Holman Weighted W-Boat to Overhead Press;none;Other;8
136;Holman Weighted Kneeling Lift;none;Other;9
137;Holman Hips-Up Weighted Pull-Over;none;Other;8
138;Holman Weighted Cross Punch;none;Other;9
139;Holman Straight-Leg Boat Hover Chest Press;none;Other;8
140;Holman Weighted Pike;none;Other;9
141;Holman Feet-Elevated Wax-On Wax-Off;none;Other;8
142;Holman Elbow Plank to Towel Pike;none;Other;9
143;Holman Seated Killer Abs Overhead Press;none;Other;8
144;Holman Straight Plank Alternating Weighted Open;none;Other;9
145;Holman Weighted Killer Abs with Overhead Press;none;Other;8
146;Holman Weighted Split-Leg Pike;none;Other;9
147;Holman Towel Reverse Plank Heel Pull-in;none;Other;8
148;Stick Twist;none;Other;9
149;Roc Everest;none;Other;8
150;Standing cable low-to-high twist;The standing cable low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.;Cable;9
151;Single-arm high-cable side bend;The single-arm high-cable side bend is an exercise targeting the obliques using a cable stack machine.;Cable;8
152;Kneeling cable oblique crunch;"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps, such as 8-12 reps per set or higher.";Cable;9
153;Kneeling cable crunch;"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.";Cable;8
154;Rope Crunch;"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.";Cable;9
155;Standing cable crunch;"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.";Cable;8
156;Bosu Ball Cable Crunch With Side Bends;none;Cable;9
157;Standing Cable Wood Chop;The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques.;Cable;8
158;Cable reverse crunch;The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically.;Cable;9
159;Cable Russian Twists;none;Cable;8
160;Pallof press with rotation;The Pallof press with rotation is a dynamic variation of the Pallof press that incorporates weighted rotation away from the torso using resistance from a cable pulley. It is intended to build abdominal strength and teach proper bracing. It can be performed for time or for reps in the core-focused portion of any workout.;Cable;9
161;Cable Seated Crunch;none;Cable;8
162;Cable Judo Flip;none;Cable;9
163;Exercise Ball Cable Crunch - Gethin Variation;The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps.;Cable;8
164;Standing cable high-to-low twist;The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.;Cable;9
165;Bent-Over Reverse Cable Fly;;Cable;8
166;Standing Cable Crunch - Gethin Variation;"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.";Cable;9
167;AM Cable Crunch;"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.";Cable;8
168;Tyler Holt Weighted Knee-To-Chest Crunch;none;Cable;9
169;Standing cable twist;The standing cable twist is a core exercise that targets the abdominals, particularly the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.;Cable;8
170;30 Cable Rope Crunch;"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.";Cable;9
171;30 Cable Rope Oblique Crunch;"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps like 8-12 reps per set or higher.";Cable;8
172;Cable lying twist on ball;The cable lying twist on ball is an exercise targeting the core and obliques with the added challenge of stability to keep from losing position on the unstable surface.;Cable;9
173;30 Cable Pallof Press;The pallof press is an anti-rotation, isometric exercise that trains core stability. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements.;Cable;8
174;30 Cable Reverse Crunch On Ball;The cable reverse crunch on a BOSU is performed on top of a BOSU ball between two cable pulleys, which helps target the lower abdominals specifically and is more proprioceptively challenging than a cable reverse crunch on the floor.;Cable;9
175;30 Cable Reverse Crunch;The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically.;Cable;8
176;Tyler Holt Cable Torso Twist;none;Cable;9
177;Single-Arm Cable Outward-Facing Biceps Curl;The single-arm cable outward-facing biceps curl is a cable exercise that targets the biceps. It is performed standing in front of a cable machine facing away from the cable stack to increase the range of motion by fully extending the elbows. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout.;Cable;8
178;Biceps Rope Curl;none;Cable;9
179;Kneeling Cable Crunches;none;Cable;8
180;Ab Crunch Machine;The machine crunch is a machine-based exercise targeting the abdominal muscles. It involves sitting upright in the machine and curling the torso down toward the chest against some pre-set level of resistance. On some machines, the knees also curl up torward the torso. Crunch machines usually use extra resistance in the form of selectorized weight stacks or plate loading, and are often performed for moderate to high reps, like 8-12 reps per set or higher, as part of the ab-focused portion of a workout.;Machine;9
181;Smith machine straight-legged hip raise;The Smith machine straight-legged hip raise is an exercise targeting the abdominal muscles. Because of the potential awkwardness of getting into position, it is usually performed for moderate to high reps, such as 8-12 reps per set or more. If your Smith machine has safety bars, set them at a height that allows you a full range of motion while giving adequate protection from the weight potentially falling.;Machine;8
182;Machine crunch;The machine crunch is a machine-based exercise targeting the abdominal muscles. It involves sitting upright in the machine and curling the torso down against a pre-set level of resistance. On some machines, the knees also curl up toward the torso. Crunch machines usually use extra resistance in the form of selectorized weight stacks or plate loading, and are often performed for moderate to high reps, such as 8-12 reps per set or more, as part of the ab-focused portion of a workout.;Machine;9
183;AM Ab Machine;none;Machine;8
184;Smith machine V-up;The smith machine V-up is a weighted abdominal exercise that involves pressing a weighted bar upward while performing a V-up. Performing it in a Smith machine eliminates the balance challenge of a free weight. It is usually performed for moderate to high reps in the ab-focused portion of a workout.;Machine;9
185;Elbow plank;The elbow plank is a popular isometric abdominal exercise. It is common in all types of exercise programs, as well as in group fitness and yoga classes. It targets the muscles of the core, the deep core or transversus abdominis in particular. It is also often prescribed for time to help back pain or to teach proper bracing.;Body Only;8
186;Bottoms Up;The lying leg lift is a popular bodyweight exercise targeting the muscles of the abs, the rectus abdominis or “six-pack” muscles in particular. It can be performed for time or reps in the core-focused portion of any workout.;Body Only;9
187;Spider crawl;The spider crawl is a bodyweight exercise that involves crawling on the floor with the knees outside of the elbows. It is different from a leopard crawl in that the hips are higher, and it's different from a bear crawl because the knees are wider. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.;Body Only;8
188;Cocoons;"The cocoon crunch is a bodyweight exercise targeting the ab muscles, the rectus abdominis or ""six-pack"" muscles in particular. It involves bringing your knees to your chest and your arms from overhead to center. It can be performed for time or reps as part of the ab-focused portion of any workout.";Body Only;9
189;Cross-Body Crunch;"The elbow-to-knee crunch is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It can be performed for time or reps as part of the ab-focused portion of any workout.";Body Only;8
